"binary","filename","configuration","rate","time"
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",15548.109738558534,0.064316500
"new","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",9944.390174592465,0.100559208
"new","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",360907.6394041848,0.002770792
"new","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",390491.5312149168,0.002560875
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-existing.js' n=1000",33111.53242224965,0.030200958
"old","esm/esm-loader-defaultResolve.js","specifier='./relative-nonexistent.js' n=1000",28393.39468559128,0.035219459
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-existing' n=1000",14991.464235051168,0.066704625
"old","esm/esm-loader-defaultResolve.js","specifier='unprefixed-nonexistent' n=1000",10079.36664646661,0.099212583
"old","esm/esm-loader-defaultResolve.js","specifier='node:prefixed-nonexistent' n=1000",369731.4197021,0.002704666
"old","esm/esm-loader-defaultResolve.js","specifier='node:os' n=1000",392541.7075564279,0.002547500
